Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
51,0,Travel_Rarely,Sales,6,2,Life Sciences,Female,1,Healthcare Representative,Married,131160,1.0,11,0,1.0,6,1,0,0,3,3,3.0,4.0,2.0
31,1,Travel_Frequently,Research & Development,10,1,Life Sciences,Female,1,Research Scientist,Single,41890,0.0,23,1,6.0,3,5,1,4,2,4,3.0,2.0,4.0
32,0,Travel_Frequently,Research & Development,17,4,Other,Male,4,Sales Executive,Married,193280,1.0,15,3,5.0,2,5,0,3,3,3,2.0,2.0,1.0
38,0,Non-Travel,Research & Development,2,5,Life Sciences,Male,3,Human Resources,Married,83210,3.0,11,3,13.0,5,8,7,5,2,3,4.0,4.0,3.0
32,0,Travel_Rarely,Research & Development,10,1,Medical,Male,1,Sales Executive,Single,23420,4.0,12,2,9.0,2,6,0,4,3,3,4.0,1.0,3.0
46,0,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,4,Research Director,Married,40710,3.0,13,0,28.0,5,7,7,7,3,3,3.0,2.0,2.0
28,1,Travel_Rarely,Research & Development,11,2,Medical,Male,2,Sales Executive,Single,58130,2.0,20,1,5.0,2,0,0,0,3,4,1.0,3.0,1.0
29,0,Travel_Rarely,Research & Development,18,3,Life Sciences,Male,2,Sales Executive,Married,31430,2.0,22,3,10.0,2,0,0,0,3,4,1.0,2.0,3.0
31,0,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Laboratory Technician,Married,20440,0.0,21,0,10.0,2,9,7,8,3,4,2.0,4.0,3.0
25,0,Non-Travel,Research & Development,7,4,Medical,Female,4,Laboratory Technician,Divorced,134640,1.0,13,1,6.0,2,6,1,5,3,3,2.0,1.0,3.0
45,0,Travel_Rarely,Research & Development,17,2,Medical,Male,2,Laboratory Technician,Married,79910,0.0,13,2,21.0,2,20,4,10,2,3,3.0,4.0,3.0
36,0,Travel_Rarely,Research & Development,28,1,Life Sciences,Male,1,Laboratory Technician,Married,33770,0.0,12,2,16.0,2,15,10,11,3,3,3.0,4.0,3.0
55,0,Travel_Rarely,Research & Development,14,4,Life Sciences,Female,1,Sales Executive,Single,55380,0.0,17,0,37.0,2,36,4,13,3,3,4.0,1.0,3.0
47,1,Non-Travel,Research & Development,1,1,Medical,Male,1,Research Scientist,Married,57620,1.0,11,2,10.0,4,10,9,9,2,3,1.0,2.0,2.0
28,0,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,1,Manufacturing Director,Married,25920,1.0,14,0,5.0,2,5,0,4,3,3,4.0,4.0,2.0
37,0,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,2,Healthcare Representative,Married,53460,4.0,11,0,7.0,2,5,0,1,3,3,3.0,4.0,4.0
21,0,Travel_Rarely,Research & Development,3,2,Life Sciences,Male,1,Laboratory Technician,Single,42130,1.0,12,3,3.0,3,3,1,0,2,3,4.0,3.0,4.0
37,0,Non-Travel,Research & Development,1,3,Medical,Male,2,Sales Executive,Divorced,41270,2.0,13,1,15.0,2,5,0,2,3,3,1.0,4.0,3.0
35,0,Travel_Rarely,Sales,7,4,Life Sciences,Male,1,Sales Representative,Divorced,24380,7.0,16,0,10.0,5,7,6,2,2,3,2.0,2.0,2.0
38,0,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,1,Manager,Divorced,68700,1.0,11,1,8.0,5,8,7,7,3,3,1.0,1.0,3.0
26,0,Travel_Frequently,Research & Development,1,4,Other,Male,2,Laboratory Technician,Divorced,104470,1.0,18,0,6.0,3,6,1,4,3,3,3.0,2.0,1.0
50,0,Travel_Rarely,Sales,8,4,Life Sciences,Male,1,Research Scientist,Divorced,96670,3.0,23,0,28.0,2,10,1,6,2,4,1.0,2.0,2.0
53,0,Travel_Rarely,Research & Development,11,4,Life Sciences,Female,2,Research Scientist,Married,21480,3.0,11,0,21.0,2,5,1,3,3,3,3.0,3.0,2.0
42,0,Travel_Rarely,Research & Development,4,4,Life Sciences,Male,1,Manufacturing Director,Married,89260,1.0,14,0,10.0,4,20,11,6,1,3,2.0,3.0,3.0
29,0,Travel_Frequently,Research & Development,16,4,Medical,Male,1,Laboratory Technician,Single,65130,1.0,11,1,10.0,2,10,0,9,3,3,2.0,4.0,2.0
55,0,Travel_Rarely,Research & Development,1,4,Other,Female,1,Research Scientist,Married,67990,3.0,11,0,12.0,2,10,0,8,3,3,2.0,4.0,3.0
26,0,Travel_Frequently,Research & Development,9,3,Life Sciences,Female,1,Manager,Married,162910,1.0,22,0,5.0,3,5,3,3,3,4,1.0,1.0,3.0
37,0,Travel_Rarely,Sales,5,1,Marketing,Male,1,Research Scientist,Single,27050,1.0,11,0,17.0,2,17,5,7,3,3,4.0,4.0,3.0
44,1,Travel_Frequently,Research & Development,1,2,Medical,Male,2,Research Scientist,Divorced,103330,3.0,14,1,19.0,2,1,0,0,2,3,4.0,3.0,1.0
38,0,Travel_Rarely,Sales,2,3,Marketing,Female,1,Manager,Divorced,44480,9.0,12,0,10.0,3,2,1,2,2,3,4.0,4.0,3.0
26,1,Travel_Rarely,Research & Development,4,3,Medical,Male,3,Research Scientist,Divorced,68540,2.0,11,0,5.0,5,3,0,2,2,3,1.0,2.0,3.0
28,0,Travel_Rarely,Research & Development,7,3,Other,Male,1,Human Resources,Single,96370,1.0,13,0,5.0,6,5,0,2,2,3,4.0,4.0,3.0
49,0,Travel_Frequently,Research & Development,1,1,Medical,Female,2,Research Scientist,Single,35910,9.0,13,0,22.0,2,3,1,2,3,3,3.0,1.0,3.0
36,0,Travel_Rarely,Sales,5,3,Technical Degree,Male,3,Sales Executive,Single,54050,4.0,14,0,10.0,2,8,7,7,3,3,3.0,2.0,3.0
31,0,Travel_Frequently,Research & Development,9,4,Medical,Male,1,Sales Executive,Divorced,46840,1.0,16,1,2.0,4,2,2,2,3,3,4.0,2.0,2.0
26,1,Travel_Rarely,Research & Development,8,3,Medical,Male,2,Manager,Single,157870,1.0,12,2,8.0,5,8,7,4,3,3,4.0,4.0,3.0
37,0,Travel_Frequently,Sales,9,1,Marketing,Male,1,Laboratory Technician,Married,15140,1.0,14,0,4.0,3,4,1,2,3,3,2.0,4.0,2.0
42,0,Travel_Frequently,Sales,2,2,Marketing,Male,3,Research Director,Married,29560,5.0,13,0,23.0,2,20,4,8,3,3,3.0,2.0,4.0
