Employee_Index,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,MonthlyIncome,YearsAtCompany,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,DistanceFromHome,BusinessTravel,Education,EducationField,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,PercentSalaryHike,StockOptionLevel,TrainingTimesLastYear,YearsSinceLastPromotion,Actual_Attrition,Predicted_Attrition,Attrition_Probability,Risk_Level
1383,19,Male,Single,Research & Development,Healthcare Representative,2,41870,0,0,1.0,0.0,10,Travel_Frequently,2,Life Sciences,1.0,3.0,4.0,3,4,22,1,4,0,1,1,1.0,Critical
1923,29,Male,Single,Human Resources,Sales Executive,1,27230,0,0,3.0,6.0,3,Travel_Rarely,5,Life Sciences,1.0,4.0,3.0,2,3,11,1,2,0,1,1,1.0,Critical
453,29,Male,Single,Human Resources,Sales Executive,1,27230,0,0,3.0,6.0,3,Travel_Rarely,5,Life Sciences,1.0,4.0,3.0,2,3,11,1,2,0,1,1,1.0,Critical
2853,19,Male,Single,Research & Development,Healthcare Representative,2,41870,0,0,1.0,0.0,10,Travel_Frequently,2,Life Sciences,1.0,3.0,4.0,3,4,22,1,4,0,1,1,1.0,Critical
3393,29,Male,Single,Human Resources,Sales Executive,1,27230,0,0,3.0,6.0,3,Travel_Rarely,5,Life Sciences,1.0,4.0,3.0,2,3,11,1,2,0,1,1,1.0,Critical
2224,31,Male,Single,Sales,Manager,2,30570,1,0,1.0,1.0,4,Travel_Frequently,3,Life Sciences,3.0,2.0,3.0,3,3,19,0,3,0,1,1,1.0,Critical
4323,19,Male,Single,Research & Development,Healthcare Representative,2,41870,0,0,1.0,0.0,10,Travel_Frequently,2,Life Sciences,1.0,3.0,4.0,3,4,22,1,4,0,1,1,1.0,Critical
602,22,Male,Married,Research & Development,Sales Representative,1,26540,0,0,1.0,0.0,22,Travel_Frequently,4,Medical,4.0,3.0,3.0,2,4,24,0,5,0,1,1,1.0,Critical
3694,31,Male,Single,Sales,Manager,2,30570,1,0,1.0,1.0,4,Travel_Frequently,3,Life Sciences,3.0,2.0,3.0,3,3,19,0,3,0,1,1,1.0,Critical
3688,49,Female,Single,Sales,Healthcare Representative,2,23420,4,3,20.0,3.0,6,Travel_Frequently,5,Medical,1.0,1.0,3.0,3,3,18,0,2,1,1,1,1.0,Critical
3542,22,Male,Married,Research & Development,Sales Representative,1,26540,0,0,1.0,0.0,22,Travel_Frequently,4,Medical,4.0,3.0,3.0,2,4,24,0,5,0,1,1,1.0,Critical
2218,49,Female,Single,Sales,Healthcare Representative,2,23420,4,3,20.0,3.0,6,Travel_Frequently,5,Medical,1.0,1.0,3.0,3,3,18,0,2,1,1,1,1.0,Critical
748,49,Female,Single,Sales,Healthcare Representative,2,23420,4,3,20.0,3.0,6,Travel_Frequently,5,Medical,1.0,1.0,3.0,3,3,18,0,2,1,1,1,1.0,Critical
2072,22,Male,Married,Research & Development,Sales Representative,1,26540,0,0,1.0,0.0,22,Travel_Frequently,4,Medical,4.0,3.0,3.0,2,4,24,0,5,0,1,1,1.0,Critical
754,31,Male,Single,Sales,Manager,2,30570,1,0,1.0,1.0,4,Travel_Frequently,3,Life Sciences,3.0,2.0,3.0,3,3,19,0,3,0,1,1,1.0,Critical
4391,32,Male,Single,Sales,Healthcare Representative,3,24680,3,2,4.0,0.0,23,Travel_Rarely,1,Life Sciences,3.0,4.0,1.0,3,3,11,0,2,1,1,1,0.99,Critical
800,34,Male,Single,Research & Development,Research Scientist,1,62880,15,10,16.0,0.0,7,Travel_Rarely,1,Medical,2.0,1.0,4.0,3,3,15,1,2,10,1,1,0.99,Critical
3953,21,Male,Single,Sales,Healthcare Representative,5,27910,1,0,1.0,1.0,1,Travel_Rarely,2,Marketing,2.0,2.0,3.0,4,3,14,0,3,1,1,1,0.99,Critical
4014,29,Female,Single,Research & Development,Laboratory Technician,1,52200,1,0,1.0,1.0,13,Travel_Frequently,2,Life Sciences,4.0,4.0,2.0,2,3,17,0,3,1,1,1,0.99,Critical
163,29,Male,Married,Research & Development,Research Scientist,3,17900,2,1,6.0,5.0,19,Travel_Rarely,4,Life Sciences,2.0,3.0,4.0,2,3,16,1,4,1,1,1,0.99,Critical
3738,28,Male,Married,Research & Development,Research Scientist,1,22740,3,2,5.0,3.0,2,Travel_Frequently,3,Medical,3.0,1.0,4.0,3,4,20,1,5,1,1,1,0.99,Critical
2491,44,Male,Divorced,Sales,Research Scientist,1,28440,5,3,6.0,1.0,10,Travel_Frequently,4,Life Sciences,2.0,3.0,2.0,4,3,12,0,2,2,1,1,0.99,Critical
2383,40,Male,Single,Sales,Research Director,1,36330,4,3,10.0,3.0,16,Travel_Rarely,4,Marketing,1.0,1.0,1.0,3,3,16,2,0,0,1,1,0.99,Critical
3459,21,Male,Single,Research & Development,Manager,1,57750,1,0,1.0,1.0,1,Travel_Rarely,4,Life Sciences,1.0,3.0,2.0,3,3,18,0,2,1,1,1,0.99,Critical
2268,28,Male,Married,Research & Development,Research Scientist,1,22740,3,2,5.0,3.0,2,Travel_Frequently,3,Medical,3.0,1.0,4.0,3,4,20,1,5,1,1,1,0.99,Critical
1074,29,Female,Single,Research & Development,Laboratory Technician,1,52200,1,0,1.0,1.0,13,Travel_Frequently,2,Life Sciences,4.0,4.0,2.0,2,3,17,0,3,1,1,1,0.99,Critical
1021,44,Male,Divorced,Sales,Research Scientist,1,28440,5,3,6.0,1.0,10,Travel_Frequently,4,Life Sciences,2.0,3.0,2.0,4,3,12,0,2,2,1,1,0.99,Critical
1107,29,Male,Single,Human Resources,Sales Executive,2,28750,1,0,1.0,1.0,2,Travel_Frequently,4,Human Resources,1.0,3.0,3.0,3,3,11,0,3,0,1,1,0.99,Critical
1013,21,Male,Single,Sales,Healthcare Representative,5,27910,1,0,1.0,1.0,1,Travel_Rarely,2,Marketing,2.0,2.0,3.0,4,3,14,0,3,1,1,1,0.99,Critical
2544,29,Female,Single,Research & Development,Laboratory Technician,1,52200,1,0,1.0,1.0,13,Travel_Frequently,2,Life Sciences,4.0,4.0,2.0,2,3,17,0,3,1,1,1,0.99,Critical
2483,21,Male,Single,Sales,Healthcare Representative,5,27910,1,0,1.0,1.0,1,Travel_Rarely,2,Marketing,2.0,2.0,3.0,4,3,14,0,3,1,1,1,0.99,Critical
2270,34,Male,Single,Research & Development,Research Scientist,1,62880,15,10,16.0,0.0,7,Travel_Rarely,1,Medical,2.0,1.0,4.0,3,3,15,1,2,10,1,1,0.99,Critical
519,21,Male,Single,Research & Development,Manager,1,57750,1,0,1.0,1.0,1,Travel_Rarely,4,Life Sciences,1.0,3.0,2.0,3,3,18,0,2,1,1,1,0.99,Critical
798,28,Male,Married,Research & Development,Research Scientist,1,22740,3,2,5.0,3.0,2,Travel_Frequently,3,Medical,3.0,1.0,4.0,3,4,20,1,5,1,1,1,0.99,Critical
1989,21,Male,Single,Research & Development,Manager,1,57750,1,0,1.0,1.0,1,Travel_Rarely,4,Life Sciences,1.0,3.0,2.0,3,3,18,0,2,1,1,1,0.99,Critical
2577,29,Male,Single,Human Resources,Sales Executive,2,28750,1,0,1.0,1.0,2,Travel_Frequently,4,Human Resources,1.0,3.0,3.0,3,3,11,0,3,0,1,1,0.99,Critical
3853,40,Male,Single,Sales,Research Director,1,36330,4,3,10.0,3.0,16,Travel_Rarely,4,Marketing,1.0,1.0,1.0,3,3,16,2,0,0,1,1,0.99,Critical
3740,34,Male,Single,Research & Development,Research Scientist,1,62880,15,10,16.0,0.0,7,Travel_Rarely,1,Medical,2.0,1.0,4.0,3,3,15,1,2,10,1,1,0.99,Critical
1314,20,Female,Single,Sales,Healthcare Representative,2,99240,1,0,1.0,1.0,4,Travel_Frequently,4,Life Sciences,4.0,4.0,3.0,3,4,22,0,3,1,1,1,0.99,Critical
3103,29,Male,Married,Research & Development,Research Scientist,3,17900,2,1,6.0,5.0,19,Travel_Rarely,4,Life Sciences,2.0,3.0,4.0,2,3,16,1,4,1,1,1,0.99,Critical
1633,29,Male,Married,Research & Development,Research Scientist,3,17900,2,1,6.0,5.0,19,Travel_Rarely,4,Life Sciences,2.0,3.0,4.0,2,3,16,1,4,1,1,1,0.99,Critical
913,40,Male,Single,Sales,Research Director,1,36330,4,3,10.0,3.0,16,Travel_Rarely,4,Marketing,1.0,1.0,1.0,3,3,16,2,0,0,1,1,0.99,Critical
2921,32,Male,Single,Sales,Healthcare Representative,3,24680,3,2,4.0,0.0,23,Travel_Rarely,1,Life Sciences,3.0,4.0,1.0,3,3,11,0,2,1,1,1,0.99,Critical
4047,29,Male,Single,Human Resources,Sales Executive,2,28750,1,0,1.0,1.0,2,Travel_Frequently,4,Human Resources,1.0,3.0,3.0,3,3,11,0,3,0,1,1,0.99,Critical
4254,20,Female,Single,Sales,Healthcare Representative,2,99240,1,0,1.0,1.0,4,Travel_Frequently,4,Life Sciences,4.0,4.0,3.0,3,4,22,0,3,1,1,1,0.99,Critical
